Serial No.,Task Name,Person,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26
1,Splash Screen,Mahbub Hasan,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Swipe Animation with Information carousel,Mujtahid Tabassum,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Login or signup,MD. Zobayer Hosen,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Upload profile picture,Mujtahid Tabassum,,,,,,,,,,,,,,,,,,,,,,,,,,
5,User must fill up basic information,Mahbub Hasan,,,,,,,,,,,,,,,,,,,,,,,,,,
6,User need to allow permission of location,Tauhidul Islam,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Search bar with filtering option,MD. Zobayer Hosen,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Most popular hospital lists on carousel,Mujtahid Tabassum,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Favorite items on carousel effect,Mahbub Hasan,,,,,,,,,,,,,,,,,,,,,,,,,,
10,List of all available services,Tauhidul Islam,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Home Screen icon,MD. Zobayer Hosen,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Medicine Reminder icon,Mahbub Hasan,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Blog Page Section,Mujtahid Tabassum,,,,,,,,,,,,,,,,,,,,,,,,,,
14,AI Doctor,Tauhidul Islam,,,,,,,,,,,,,,,,,,,,,,,,,,
15,User profile page,MD. Zobayer Hosen,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Order History menu,Mahbub Hasan,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Track Appointment,Mujtahid Tabassum,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Active Orders (Booked Cabin, oxygen, ambulance)",Tauhidul Islam,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Navigation history stack,MD. Zobayer Hosen,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Payment integration (mobile banking, card, cash)",Mahbub Hasan,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Comment and rating to doctor and hospital,Mujtahid Tabassum,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Read hospital and doctor information,Tauhidul Islam,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Can read history of everything,MD. Zobayer Hosen,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"CRUD accounts, credentials, reports",Mahbub Hasan,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"Create, read, update, delete moderators",Mujtahid Tabassum,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"Can change username, password",Tauhidul Islam,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Basic Information,MD. Zobayer Hosen,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Can see most recent comments with view all,Mahbub Hasan,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Can see list of serial appointed by patient,Mujtahid Tabassum,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Welcome Page,Tauhidul Islam,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Account Options,MD. Zobayer Hosen,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Reviews,Mahbub Hasan,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Blog page,Mujtahid Tabassum,,,,,,,,,,,,,,,,,,,,,,,,,,
34,CRUD doctor lists,Tauhidul Islam,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Can see requested list of doctor for approve,MD. Zobayer Hosen,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Cabin section management,Mahbub Hasan,,,,,,,,,,,,,,,,,,,,,,,,,,
37,All track list of equipments,Mujtahid Tabassum,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Track list of ambulance,Tauhidul Islam,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Section for handling users queries,MD. Zobayer Hosen,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Basic Information,Mahbub Hasan,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Can see most recent comments with view all,Mujtahid Tabassum,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Can see list of serial appointed by patient,Tauhidul Islam,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Welcome Page,MD. Zobayer Hosen,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Account Options,Mahbub Hasan,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Reviews,Mujtahid Tabassum,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Blog page,Tauhidul Islam,,,,,,,,,,,,,,,,,,,,,,,,,,
47,History of patient,MD. Zobayer Hosen,,,,,,,,,,,,,,,,,,,,,,,,,,
