Item No.,Acceptance Criteria,Feature,Screen Definition,Specification,User Story
3,"1. On the first app open, the login screen should show options for Gmail, Facebook, or email/password login.
2. A ""Forgot Password"" link should be displayed below the Sign-in button.
3. A ""Create an Account"" button should lead to a signup form asking for email, password (8+ characters), first name, last name, and phone number.
4. After filling the signup form, a ""Send Code"" button should send an OTP to the provided email.
5. Entering the correct OTP should register the account in the database.
6. The signup form should validate the email and password (minimum 8 characters).
7. The login screen should appear unless the user is already authenticated.",Role based Authentication and authorization,"When the web app opens for the first time, users see a login screen with options to sign in using Gmail, Facebook, or email and password. A ""Forgot Password"" link appears below the Sign-in button. A ""Create an Account"" button leads to a signup form requiring a valid email, password (minimum 8 characters), first name, last name, and phone number. After completing the form, users click ""Send Code"" to receive an OTP via email. Entering the correct OTP completes account registration.",Login or signup,"As a new or returning user, I want to log in or sign up easily with social media or email, and verify my account with an OTP, so I can access the app securely."
6,"1. On accessing the homepage, a prompt should ask for location permission or offer a map to select a location.
2. If the user grants location permission, the app should detect and use their current location.
3. If the user denies permission, they should be able to manually select coordinates on a map.
4. The app should display information based on the detected or selected location.
5. Users should not be able to access the homepage until a location is provided.",Location based service,"Upon accessing the homepage, users are prompted to allow location access or manually select their location on a map. Once a location is provided, the app displays personalized information based on that location.",User need to allow the permission of location or manually select the co-ordinate of location from maps,"As a user, I want to allow location access or pick my location on a map, so I can see information relevant to my area on the homepage"
4,"1. After account creation, a profile setup screen should prompt the user to upload a profile picture.
2. The screen should include an option to skip uploading a profile picture.
3. If the user uploads a picture, it should be saved to their profile.
4. If the user skips, the app should proceed without a profile picture.
5. The upload feature should accept valid image formats (e.g., JPEG, PNG).",Set up profile,"Once a user creates an account, a profile setup screen appears, prompting them to upload a profile picture. Users can either upload an image or skip this step to proceed to the app.
",upload profile picture,"As a new user, I want the option to upload a profile picture after signing up, so I can personalize my account or skip it if I prefer.
"
16,"1. The Order History page should list all past service usage with dates.
2. Each entry should include a review button and a “Place Again” button.
3. Clicking the review button should allow the user to submit a review for the service.
4. Clicking “Place Again” should initiate a new order for the same service.
5. The list should be clear, sorted by date, and load quickly.
6. If no history exists, a message should indicate no past orders.","Allows access to key sections like Order History, Track Appointment etc","The Order History page shows a list of the user’s previous service usage, with each entry displaying the service date, a button to submit a review, and a “Place Again” button to reorder the service.",Order History menu,"As a user, I want to view my past service history with dates, submit reviews, and reorder services, so I can track my usage and easily repeat orders."
19,"1. Each page opened should be added to the navigation history stack.
2. Swiping right should navigate to the previous page, and swiping left should navigate to the next page.
3. Swipe gestures should work smoothly on iOS devices.
4. A back button should be visible on each page to return to the previous page.
5. Navigation should be responsive, with no delays in moving forward or backward.
6. The history stack should persist during the session, allowing accurate navigation.",Pushing history of navigation to the stack,"Every page accessed from another page is recorded in a navigation history stack. Users can swipe left to go forward or right to go back, with support for iOS devices. A back button on each page allows users to return to the previous page.","All the page that has been opened from another page, will be pushed to stack of history","As a user, I want my page navigation history saved, so I can swipe left or right or use a back button to move between pages easily, including on iOS devices."
11,"1. A navigation bar should display icons or links for Home, Reviews, Blogs, and Account.
2. Clicking the Home icon should navigate to the home screen page.
3. The home screen should show location-based content and the services carousel.
4. Navigation should be responsive and accessible across all sections.
5. Switching between sections should be seamless with no noticeable delay.","Enables quick switching between Home, Reviews, Blogs, Account","The home screen includes a navigation bar with icons or links for Home, Reviews, Blogs, and Account. Clicking the Home icon directs the user to the home screen page, displaying location-based content and the carousel of services.",Home Screen icon,"As a user, I want to easily switch between Home, Reviews, Blogs, and Account using a navigation bar, so I can quickly access the home screen and other sections."
21,"1. Each doctor’s profile page should have a rating and comment section at the bottom.
2. Users should be able to submit a rating (e.g., 1-5 stars) for the doctor or hospital.
3. Users should be able to add a comment with their rating.
4. Submitted ratings and comments should be visible to other users.
5. The feedback section should be clear and easy to use.
6. Feedback submission should be quick and saved to the database.",Review Doctor and hospital,"On every doctor’s profile page, a section at the bottom shows rating and comment options, allowing users to submit their feedback about the doctor or associated hospital.",Can comment and rating to doctor and hospital,"As a user, I want to rate and comment on doctors and hospitals on their profile pages, so I can share my feedback and view others’ reviews."
7,"1. The search bar must allow users to search by doctor name, hospital, or test with real-time results.
2. A filter button must be placed beside the search bar to open filtering options.
3. Users should be able to filter by doctor, hospital, disease type, specialist, or test name.",Home Screen," - User can find doctor, hospital or even test (like blood test, IgM, etc.)

 - On the right side of search bar there will be a filter button. He can filter services (like doctor name, hospital name, type of disease, type of specialist, Test name etc.)",Search bar with filtering option,"As a user,I want to search and filter doctors, hospitals, or testsSo that I can find what I need quickly."
22,"1. Tapping a doctor or hospital card on the homepage should open their profile page.
2. The profile page should show name, expertise, gender, age, degrees, availability, location, ratings, and comments.
3. Information should be clearly organized and easy to read.
4. Ratings and comments from other users should be displayed.
5. The profile page should load quickly and be accessible.
6. If no ratings or comments exist, a message should indicate this.",Can see doctor and hospital profile,"Tapping a doctor or hospital card on the homepage opens their profile page, displaying key details like name, expertise, gender, age, degrees, availability, location, ratings, and comments. The profile is clear and well-organized for easy reading.","Can read all the essential information of hospital and doctor like age, degrees, availability, location, gender, age, name, ratings, comments etc.","As a user, I want to tap a doctor or hospital card to view their profile details, so I can learn about their expertise, availability, and feedback."
20,"1. The payment screen should show mobile banking, card payment, and bank payment options for all services.
2. For doctor appointments, ambulance rentals, and oxygen cylinder rentals, a cash-on-hand option should be available.
3. For cabin bookings, only mobile banking, card, or bank payment options should be shown, with no cash-on-hand option.
4. Payment options should be clearly displayed and easy to select.
5. The payment process should be secure and complete without delay.
6. Users should be informed if a selected payment method is unavailable for a specific service.",Payment Option,"When purchasing services, the payment screen offers options for mobile banking, card payment, or bank payment. For doctor appointments, ambulance rentals, and oxygen cylinder rentals, a cash-on-hand option is also displayed. For cabin bookings, only advance payment methods (mobile banking, card, or bank) are shown, excluding cash-on-hand.","Support mobile banking, card and pay cash by hand option (for limited services like appoinment)","As a user, I want to choose from multiple payment options for services, including cash for certain services, so I can pay conveniently, but pay in advance for cabin bookings."
